"Store Intelligence — Analysis #%1","Store Intelligence — Analysis #%1"
"Store Intelligence — Analysis History","Store Intelligence — Analysis History"
"Store Intelligence — Dashboard","Store Intelligence — Dashboard"
"Store Intelligence — History","Store Intelligence — History"
"Store Intelligence — Recommendations","Store Intelligence — Recommendations"
"Success!","Success!"
"Thresholds","Thresholds"
"Title","Title"
"Top Recommendations","Top Recommendations"
"Tracking timed out. Reload the page to see the result.","Tracking timed out. Reload the page to see the result."
"Trigger","Trigger"
"Unknown error.","Unknown error."
"Warning","Warning"
"Webhook Notifications","Webhook Notifications"
"Webhook URL","Webhook URL"
"Website #%1","Website #%1"
"What changed since the last analysis","What changed since the last analysis"
"When the limit is reached, analyses continue (deterministic score) but without AI summary/recommendations until next month. 0 = unlimited.","When the limit is reached, analyses continue (deterministic score) but without AI summary/recommendations until next month. 0 = unlimited."
"Window End (HH:MM)","Window End (HH:MM)"
"Window Start (HH:MM)","Window Start (HH:MM)"
"none","none"
"Frequency","Frequency"
"The analysis cron runs at the Start Time: daily, every Monday, or on the 1st of each month (store timezone).","The analysis cron runs at the Start Time: daily, every Monday, or on the 1st of each month (store timezone)."
"Start Time","Start Time"
"Custom Cron Expression","Custom Cron Expression"
"Optional: overrides Frequency and Start Time. Full crontab syntax: * (any), , (list), - (range), / (step) and @hourly, @daily, @weekly, @monthly, @yearly. Example: */5 * * * * runs every 5 minutes. @reboot is not supported.","Optional: overrides Frequency and Start Time. Full crontab syntax: * (any), , (list), - (range), / (step) and @hourly, @daily, @weekly, @monthly, @yearly. Example: */5 * * * * runs every 5 minutes. @reboot is not supported."
"@reboot is not supported: Magento cron has no boot event. Use a periodic expression.","@reboot is not supported: Magento cron has no boot event. Use a periodic expression."
"Unknown cron shortcut ""%1"".","Unknown cron shortcut ""%1""."
"Invalid cron expression ""%1"": expected 5 or 6 space-separated fields.","Invalid cron expression ""%1"": expected 5 or 6 space-separated fields."
"Invalid cron expression field ""%1"".","Invalid cron expression field ""%1""."
"Each website separately","Each website separately"
